,Algorithm,Parameter,Attempt,Iterations,Time (s),Max Tile
0,MCTS,24,1,383,16.2752,512.0
1,MCTS,24,2,207,9.3799,256.0
2,MCTS,24,3,472,17.3842,512.0
3,MCTS,24,4,373,14.8652,512.0
4,MCTS,24,5,421,16.747,512.0
5,MCTS,24,6,597,20.9009,1024.0
6,MCTS,24,7,511,18.2784,512.0
7,MCTS,24,8,254,10.4079,256.0
8,MCTS,24,9,500,18.0264,512.0
9,MCTS,24,10,475,17.3578,512.0
10,MCTS,24,11,850,27.6968,1024.0
11,MCTS,24,12,522,18.6218,512.0
12,MCTS,24,13,479,17.6846,512.0
13,MCTS,24,14,258,10.813,256.0
14,MCTS,24,15,367,14.6846,512.0
15,MCTS,24,16,466,16.9689,512.0
16,MCTS,24,17,849,26.4427,1024.0
17,MCTS,24,18,718,25.807,1024.0
18,MCTS,24,19,488,17.4001,512.0
19,MCTS,24,20,696,24.4676,1024.0
20,MCTS,24,21,516,18.1055,512.0
21,MCTS,24,22,131,6.2813,128.0
22,MCTS,24,23,154,7.5158,128.0
23,MCTS,24,24,822,27.3627,1024.0
24,MCTS,24,25,323,14.4134,512.0
25,MCTS,24,26,523,17.4398,512.0
26,MCTS,24,27,265,11.0475,256.0
27,MCTS,24,28,357,13.9782,512.0
28,MCTS,24,29,486,17.6952,512.0
29,MCTS,24,30,862,26.8834,1024.0
30,MCTS,24,31,285,11.4389,256.0
31,MCTS,24,32,475,16.8518,512.0
32,MCTS,24,33,502,18.0299,512.0
33,MCTS,24,34,478,17.0381,512.0
34,MCTS,24,35,249,10.0176,256.0
35,MCTS,24,36,716,24.2202,1024.0
36,MCTS,24,37,486,17.1626,512.0
37,MCTS,24,38,271,10.8079,256.0
38,MCTS,24,39,522,18.0032,512.0
39,MCTS,24,40,492,17.1134,512.0
40,MCTS,24,41,502,18.1648,512.0
41,MCTS,24,42,779,27.004,1024.0
42,MCTS,24,43,263,11.1065,256.0
43,MCTS,24,44,610,19.7165,1024.0
44,MCTS,24,45,823,25.1441,1024.0
45,MCTS,24,46,473,17.5075,512.0
46,MCTS,24,47,510,17.2723,512.0
47,MCTS,24,48,345,14.2139,512.0
48,MCTS,24,49,256,10.6288,256.0
49,MCTS,24,50,677,24.0784,1024.0
50,MCTS,24,51,505,17.7661,512.0
51,MCTS,24,52,248,10.8338,256.0
52,MCTS,24,53,388,15.5113,512.0
53,MCTS,24,54,469,17.58,512.0
54,MCTS,24,55,734,25.2135,1024.0
