,Algorithm,Parameter,Attempt,Iterations,Time (s),Max Tile
0,MCTS,192,1,1426,388.1225,2048.0
1,MCTS,192,2,506,158.6789,512.0
2,MCTS,192,3,950,270.6776,1024.0
3,MCTS,192,4,718,228.5026,1024.0
4,MCTS,192,5,307,102.324,256.0
5,MCTS,192,6,987,274.5305,1024.0
6,MCTS,192,7,1632,426.4838,2048.0
7,MCTS,192,8,257,97.1483,256.0
8,MCTS,192,9,370,132.3601,512.0
9,MCTS,192,10,952,275.0857,1024.0
10,MCTS,192,11,139,58.0016,128.0
11,MCTS,192,12,979,276.0869,1024.0
12,MCTS,192,13,960,261.6175,1024.0
13,MCTS,192,14,968,272.1044,1024.0
14,MCTS,192,15,792,242.1128,1024.0
15,MCTS,192,16,698,215.082,1024.0
16,MCTS,192,17,969,279.4772,1024.0
17,MCTS,192,18,485,150.8946,512.0
18,MCTS,192,19,481,159.7649,512.0
19,MCTS,192,20,501,158.2156,512.0
20,MCTS,192,21,496,161.642,512.0
21,MCTS,192,22,96,42.9357,128.0
22,MCTS,192,23,708,214.4303,1024.0
23,MCTS,192,24,732,215.9751,1024.0
24,MCTS,192,25,855,247.4521,1024.0
25,MCTS,192,26,699,223.8616,1024.0
26,MCTS,192,27,970,264.0652,1024.0
27,MCTS,192,28,1387,390.749,2048.0
28,MCTS,192,29,491,164.1214,512.0
29,MCTS,192,30,940,261.9119,1024.0
30,MCTS,192,31,499,156.8802,512.0
31,MCTS,192,32,950,275.2394,1024.0
32,MCTS,192,33,1671,446.7534,2048.0
33,MCTS,192,34,919,272.2118,1024.0
34,MCTS,192,35,809,244.6106,1024.0
35,MCTS,192,36,864,252.9076,1024.0
36,MCTS,192,37,267,98.0806,256.0
37,MCTS,192,38,864,256.3147,1024.0
38,MCTS,192,39,728,226.0195,1024.0
39,MCTS,192,40,946,272.0527,1024.0
40,MCTS,192,41,931,265.3604,1024.0
41,MCTS,192,42,669,196.8331,1024.0
42,MCTS,192,43,136,57.473,128.0
43,MCTS,192,44,836,247.4758,1024.0
44,MCTS,192,45,921,259.9725,1024.0
45,MCTS,192,46,984,287.1397,1024.0
46,MCTS,192,47,466,153.9893,512.0
47,MCTS,192,48,236,88.1543,256.0
48,MCTS,192,49,1416,378.0599,2048.0
49,MCTS,192,50,959,269.2006,1024.0
50,MCTS,192,51,907,266.1273,1024.0
51,MCTS,192,52,252,92.6964,256.0
52,MCTS,192,53,1015,278.568,1024.0
53,MCTS,192,54,508,159.3286,512.0
54,MCTS,192,55,1375,379.944,2048.0
55,MCTS,192,56,474,153.034,512.0
56,MCTS,192,57,940,267.0021,1024.0
57,MCTS,192,58,467,155.189,512.0
58,MCTS,192,59,929,270.2719,1024.0
59,MCTS,192,60,783,231.608,1024.0
60,MCTS,192,61,105,47.1629,128.0
61,MCTS,192,62,952,269.0368,1024.0
62,MCTS,192,63,937,271.4494,1024.0
63,MCTS,192,64,734,215.4673,1024.0
64,MCTS,192,65,896,266.2965,1024.0
65,MCTS,192,66,728,227.2386,1024.0
66,MCTS,192,67,498,157.4807,512.0
67,MCTS,192,68,956,267.6909,1024.0
68,MCTS,192,69,472,153.1165,512.0
69,MCTS,192,70,1430,379.8017,2048.0
70,MCTS,192,71,828,248.6819,1024.0
71,MCTS,192,72,928,266.9796,1024.0
72,MCTS,192,73,932,259.6898,1024.0
73,MCTS,192,74,503,159.1854,512.0
74,MCTS,192,75,925,261.1893,1024.0
75,MCTS,192,76,629,194.4732,1024.0
76,MCTS,192,77,960,275.6995,1024.0
77,MCTS,192,78,444,146.649,512.0
78,MCTS,192,79,952,269.751,1024.0
79,MCTS,192,80,916,261.6127,1024.0
80,MCTS,192,81,982,280.7187,1024.0
81,MCTS,192,82,262,93.5753,256.0
82,MCTS,192,83,998,283.4701,1024.0
83,MCTS,192,84,513,161.2873,512.0
84,MCTS,192,85,597,190.7962,1024.0
85,MCTS,192,86,491,162.8598,512.0
86,MCTS,192,87,930,268.6393,1024.0
87,MCTS,192,88,833,252.0634,1024.0
88,MCTS,192,89,904,261.485,1024.0
89,MCTS,192,90,840,250.9647,1024.0
90,MCTS,192,91,968,270.2427,1024.0
91,MCTS,192,92,964,269.299,1024.0
92,MCTS,192,93,952,274.0185,1024.0
93,MCTS,192,94,957,278.4982,1024.0
94,MCTS,192,95,721,226.68,1024.0
95,MCTS,192,96,507,157.9449,512.0
96,MCTS,192,97,964,276.6106,1024.0
97,MCTS,192,98,487,162.7676,512.0
98,MCTS,192,99,441,150.8887,512.0
99,MCTS,192,100,267,96.6796,256.0
100,MCTS,192,101,721,224.8014,1024.0
101,MCTS,192,102,495,157.0976,512.0
102,MCTS,192,103,880,255.266,1024.0
103,MCTS,192,104,505,156.8173,512.0
104,MCTS,192,105,963,271.9463,1024.0
105,MCTS,192,106,865,263.1661,1024.0
106,MCTS,192,107,923,257.6052,1024.0
107,MCTS,192,108,479,154.6122,512.0
108,MCTS,192,109,366,123.8163,512.0
109,MCTS,192,110,247,93.1975,256.0
110,MCTS,192,111,713,211.1277,1024.0
111,MCTS,192,112,972,259.2062,1024.0
112,MCTS,192,113,853,251.1124,1024.0
113,MCTS,192,114,247,93.8781,256.0
114,MCTS,192,115,937,272.5445,1024.0
115,MCTS,192,116,951,264.0101,1024.0
116,MCTS,192,117,728,228.2176,1024.0
117,MCTS,192,118,1421,392.0508,2048.0
118,MCTS,192,119,1439,382.4224,2048.0
119,MCTS,192,120,905,258.0781,1024.0
120,MCTS,192,121,952,272.0874,1024.0
121,MCTS,192,122,935,268.7276,1024.0
122,MCTS,192,123,728,216.8688,1024.0
123,MCTS,192,124,244,90.2646,256.0
124,MCTS,192,125,508,160.361,512.0
125,MCTS,192,126,471,151.7707,512.0
126,MCTS,192,127,963,280.8981,1024.0
127,MCTS,192,128,937,267.76,1024.0
128,MCTS,192,129,492,158.0369,512.0
129,MCTS,192,130,1202,333.3154,2048.0
130,MCTS,192,131,958,272.7312,1024.0
131,MCTS,192,132,197,79.5664,256.0
132,MCTS,192,133,836,248.5875,1024.0
133,MCTS,192,134,277,97.1233,256.0
134,MCTS,192,135,500,160.5245,512.0
135,MCTS,192,136,925,264.3357,1024.0
136,MCTS,192,137,940,275.9075,1024.0
137,MCTS,192,138,499,165.7437,512.0
138,MCTS,192,139,986,272.1698,1024.0
139,MCTS,192,140,978,281.2193,1024.0
140,MCTS,192,141,1424,379.1827,2048.0
141,MCTS,192,142,728,221.4984,1024.0
142,MCTS,192,143,954,276.2103,1024.0
143,MCTS,192,144,1416,394.1616,2048.0
144,MCTS,192,145,1449,382.855,2048.0
145,MCTS,192,146,478,155.6675,512.0
146,MCTS,192,147,946,271.4529,1024.0
147,MCTS,192,148,955,278.6496,1024.0
148,MCTS,192,149,377,127.8867,512.0
149,MCTS,192,150,368,133.5822,512.0
150,MCTS,192,151,911,262.6105,1024.0
151,MCTS,192,152,742,218.4867,1024.0
152,MCTS,192,153,722,217.4103,1024.0
153,MCTS,192,154,752,226.5906,1024.0
154,MCTS,192,155,1216,353.3308,2048.0
155,MCTS,192,156,839,251.705,1024.0
156,MCTS,192,157,949,268.8225,1024.0
157,MCTS,192,158,942,271.6896,1024.0
158,MCTS,192,159,241,86.3215,256.0
159,MCTS,192,160,646,205.7268,1024.0
160,MCTS,192,161,483,156.3532,512.0
161,MCTS,192,162,254,96.6523,256.0
162,MCTS,192,163,503,160.7813,512.0
163,MCTS,192,164,968,273.9058,1024.0
164,MCTS,192,165,502,159.05,512.0
165,MCTS,192,166,831,243.1611,1024.0
166,MCTS,192,167,1202,349.2671,2048.0
167,MCTS,192,168,486,158.2582,512.0
168,MCTS,192,169,540,182.6309,1024.0
169,MCTS,192,170,834,249.9948,1024.0
170,MCTS,192,171,868,248.0432,1024.0
171,MCTS,192,172,271,94.2195,256.0
172,MCTS,192,173,954,265.1822,1024.0
173,MCTS,192,174,504,160.8685,512.0
174,MCTS,192,175,381,127.9266,512.0
175,MCTS,192,176,937,268.9514,1024.0
176,MCTS,192,177,725,226.2611,1024.0
177,MCTS,192,178,790,241.6872,1024.0
178,MCTS,192,179,488,156.6352,512.0
179,MCTS,192,180,880,255.585,1024.0
180,MCTS,192,181,531,165.7062,512.0
181,MCTS,192,182,1403,385.6166,2048.0
182,MCTS,192,183,919,268.2182,1024.0
183,MCTS,192,184,946,267.7339,1024.0
184,MCTS,192,185,956,272.9735,1024.0
185,MCTS,192,186,490,149.7333,512.0
186,MCTS,192,187,861,252.1167,1024.0
187,MCTS,192,188,255,90.8124,256.0
188,MCTS,192,189,1447,392.3122,2048.0
189,MCTS,192,190,350,121.7747,512.0
190,MCTS,192,191,1380,374.7941,2048.0
191,MCTS,192,192,496,154.6498,512.0
192,MCTS,192,193,727,224.0963,1024.0
193,MCTS,192,194,716,218.1682,1024.0
194,MCTS,192,195,1571,427.5607,2048.0
195,MCTS,192,196,420,143.0898,512.0
196,MCTS,192,197,932,262.5493,1024.0
197,MCTS,192,198,367,125.4406,512.0
198,MCTS,192,199,776,240.4233,1024.0
199,MCTS,192,200,728,229.0216,1024.0
