,Algorithm,Parameter,Attempt,Iterations,Time (s),Max Tile
0,Expectimax,2,1,486,0.5215,512.0
1,Expectimax,2,2,415,0.4436,512.0
2,Expectimax,2,3,152,0.1995,128.0
3,Expectimax,2,4,287,0.3271,256.0
4,Expectimax,2,5,354,0.3981,512.0
5,Expectimax,2,6,379,0.3899,512.0
6,Expectimax,2,7,207,0.2471,256.0
7,Expectimax,2,8,505,0.4928,512.0
8,Expectimax,2,9,657,0.6927,1024.0
9,Expectimax,2,10,461,0.4905,512.0
10,Expectimax,2,11,283,0.3301,256.0
11,Expectimax,2,12,156,0.205,128.0
12,Expectimax,2,13,154,0.2,128.0
13,Expectimax,2,14,267,0.3182,256.0
14,Expectimax,2,15,500,0.5077,512.0
15,Expectimax,2,16,447,0.4802,512.0
16,Expectimax,2,17,266,0.2788,256.0
17,Expectimax,2,18,504,0.5334,512.0
18,Expectimax,2,19,248,0.3001,256.0
19,Expectimax,2,20,794,0.8141,1024.0
20,Expectimax,2,21,280,0.2918,256.0
21,Expectimax,2,22,262,0.2943,256.0
22,Expectimax,2,23,432,0.4369,512.0
23,Expectimax,2,24,207,0.2466,256.0
24,Expectimax,2,25,269,0.3173,256.0
25,Expectimax,2,26,198,0.2614,256.0
26,Expectimax,2,27,267,0.3213,256.0
27,Expectimax,2,28,263,0.3032,256.0
28,Expectimax,2,29,274,0.3088,256.0
29,Expectimax,2,30,553,0.5127,512.0
30,Expectimax,2,31,263,0.3111,256.0
31,Expectimax,2,32,221,0.2563,256.0
32,Expectimax,2,33,393,0.407,512.0
33,Expectimax,2,34,278,0.3091,256.0
34,Expectimax,2,35,266,0.283,256.0
35,Expectimax,2,36,287,0.3256,256.0
36,Expectimax,2,37,275,0.3203,256.0
37,Expectimax,2,38,272,0.3138,256.0
38,Expectimax,2,39,436,0.4701,512.0
39,Expectimax,2,40,475,0.5154,512.0
40,Expectimax,2,41,376,0.4258,512.0
41,Expectimax,2,42,387,0.422,512.0
42,Expectimax,2,43,374,0.4207,512.0
43,Expectimax,2,44,458,0.4467,512.0
44,Expectimax,2,45,477,0.5067,512.0
45,Expectimax,2,46,486,0.4969,512.0
46,Expectimax,2,47,472,0.5347,512.0
47,Expectimax,2,48,485,0.4894,512.0
48,Expectimax,2,49,431,0.4688,512.0
49,Expectimax,2,50,239,0.2867,256.0
50,Expectimax,2,51,287,0.3099,256.0
51,Expectimax,2,52,141,0.1851,128.0
52,Expectimax,2,53,557,0.5621,1024.0
53,Expectimax,2,54,539,0.5031,512.0
54,Expectimax,2,55,365,0.4243,512.0
55,Expectimax,2,56,479,0.5188,512.0
56,Expectimax,2,57,269,0.3019,256.0
57,Expectimax,2,58,680,0.6816,1024.0
58,Expectimax,2,59,287,0.3201,256.0
59,Expectimax,2,60,487,0.5037,512.0
60,Expectimax,2,61,405,0.4635,512.0
61,Expectimax,2,62,389,0.4096,512.0
62,Expectimax,2,63,398,0.3839,512.0
63,Expectimax,2,64,481,0.5442,512.0
64,Expectimax,2,65,483,0.5099,512.0
65,Expectimax,2,66,316,0.3485,256.0
66,Expectimax,2,67,261,0.2999,256.0
67,Expectimax,2,68,262,0.2911,256.0
68,Expectimax,2,69,136,0.1747,128.0
69,Expectimax,2,70,302,0.3638,256.0
70,Expectimax,2,71,691,0.6806,1024.0
71,Expectimax,2,72,157,0.1974,128.0
72,Expectimax,2,73,460,0.4951,512.0
73,Expectimax,2,74,372,0.4356,512.0
74,Expectimax,2,75,440,0.4581,512.0
75,Expectimax,2,76,499,0.5276,512.0
76,Expectimax,2,77,367,0.4174,512.0
77,Expectimax,2,78,247,0.2822,256.0
78,Expectimax,2,79,474,0.5213,512.0
79,Expectimax,2,80,473,0.4976,512.0
80,Expectimax,2,81,634,0.6849,1024.0
81,Expectimax,2,82,269,0.2847,256.0
82,Expectimax,2,83,166,0.188,128.0
83,Expectimax,2,84,472,0.4976,512.0
84,Expectimax,2,85,298,0.3166,256.0
85,Expectimax,2,86,447,0.5084,512.0
86,Expectimax,2,87,250,0.2883,256.0
87,Expectimax,2,88,532,0.5277,512.0
88,Expectimax,2,89,212,0.2464,256.0
89,Expectimax,2,90,493,0.5264,512.0
90,Expectimax,2,91,484,0.4775,512.0
91,Expectimax,2,92,526,0.5505,512.0
92,Expectimax,2,93,513,0.5129,512.0
93,Expectimax,2,94,487,0.4914,512.0
94,Expectimax,2,95,393,0.4344,512.0
95,Expectimax,2,96,424,0.4601,512.0
96,Expectimax,2,97,367,0.4033,512.0
97,Expectimax,2,98,497,0.5013,512.0
98,Expectimax,2,99,271,0.299,256.0
99,Expectimax,2,100,255,0.3002,256.0
100,Expectimax,2,101,438,0.4625,512.0
101,Expectimax,2,102,314,0.3293,256.0
102,Expectimax,2,103,393,0.4446,512.0
103,Expectimax,2,104,272,0.323,256.0
104,Expectimax,2,105,464,0.4939,512.0
105,Expectimax,2,106,249,0.2776,256.0
106,Expectimax,2,107,150,0.1854,128.0
107,Expectimax,2,108,276,0.3009,256.0
108,Expectimax,2,109,501,0.5472,512.0
109,Expectimax,2,110,469,0.5084,512.0
110,Expectimax,2,111,270,0.3237,256.0
111,Expectimax,2,112,489,0.4997,512.0
112,Expectimax,2,113,483,0.5389,512.0
113,Expectimax,2,114,264,0.3109,256.0
114,Expectimax,2,115,232,0.2749,256.0
115,Expectimax,2,116,396,0.4232,512.0
116,Expectimax,2,117,497,0.4588,512.0
117,Expectimax,2,118,159,0.1881,128.0
118,Expectimax,2,119,479,0.5044,512.0
119,Expectimax,2,120,213,0.2695,256.0
120,Expectimax,2,121,251,0.2798,256.0
121,Expectimax,2,122,475,0.4917,512.0
122,Expectimax,2,123,274,0.336,256.0
123,Expectimax,2,124,263,0.3127,256.0
124,Expectimax,2,125,434,0.4609,512.0
125,Expectimax,2,126,469,0.4763,512.0
126,Expectimax,2,127,413,0.4048,512.0
127,Expectimax,2,128,434,0.459,512.0
128,Expectimax,2,129,609,0.6193,1024.0
129,Expectimax,2,130,469,0.4596,512.0
130,Expectimax,2,131,274,0.3339,256.0
131,Expectimax,2,132,478,0.5403,512.0
132,Expectimax,2,133,662,0.6983,1024.0
133,Expectimax,2,134,251,0.2963,256.0
134,Expectimax,2,135,430,0.4594,512.0
135,Expectimax,2,136,411,0.4496,512.0
136,Expectimax,2,137,393,0.4563,512.0
137,Expectimax,2,138,265,0.3067,256.0
138,Expectimax,2,139,374,0.3961,512.0
139,Expectimax,2,140,535,0.5606,512.0
140,Expectimax,2,141,366,0.4003,512.0
141,Expectimax,2,142,268,0.2897,256.0
142,Expectimax,2,143,462,0.473,512.0
143,Expectimax,2,144,922,0.8651,1024.0
144,Expectimax,2,145,390,0.4292,512.0
145,Expectimax,2,146,391,0.4318,512.0
146,Expectimax,2,147,462,0.4922,512.0
147,Expectimax,2,148,164,0.1847,128.0
148,Expectimax,2,149,278,0.3081,256.0
149,Expectimax,2,150,399,0.4239,512.0
150,Expectimax,2,151,387,0.4179,512.0
151,Expectimax,2,152,491,0.5204,512.0
152,Expectimax,2,153,217,0.247,256.0
153,Expectimax,2,154,607,0.6241,1024.0
154,Expectimax,2,155,520,0.496,512.0
155,Expectimax,2,156,488,0.5025,512.0
156,Expectimax,2,157,439,0.4455,512.0
157,Expectimax,2,158,267,0.3092,256.0
158,Expectimax,2,159,503,0.4961,512.0
159,Expectimax,2,160,483,0.4902,512.0
160,Expectimax,2,161,270,0.2989,256.0
161,Expectimax,2,162,451,0.4698,512.0
162,Expectimax,2,163,467,0.4875,512.0
163,Expectimax,2,164,405,0.4296,512.0
164,Expectimax,2,165,485,0.5164,512.0
165,Expectimax,2,166,423,0.4362,512.0
166,Expectimax,2,167,476,0.4789,512.0
167,Expectimax,2,168,384,0.4208,512.0
168,Expectimax,2,169,264,0.312,256.0
169,Expectimax,2,170,440,0.5135,512.0
170,Expectimax,2,171,474,0.4923,512.0
171,Expectimax,2,172,228,0.2547,128.0
172,Expectimax,2,173,445,0.4982,512.0
173,Expectimax,2,174,384,0.4289,512.0
174,Expectimax,2,175,263,0.3321,256.0
175,Expectimax,2,176,257,0.3056,256.0
176,Expectimax,2,177,391,0.4486,512.0
177,Expectimax,2,178,396,0.4447,512.0
178,Expectimax,2,179,609,0.5734,1024.0
179,Expectimax,2,180,447,0.4631,512.0
180,Expectimax,2,181,289,0.3164,256.0
181,Expectimax,2,182,638,0.6904,1024.0
182,Expectimax,2,183,456,0.4818,512.0
183,Expectimax,2,184,256,0.265,256.0
184,Expectimax,2,185,600,0.6487,1024.0
185,Expectimax,2,186,262,0.3095,256.0
186,Expectimax,2,187,280,0.3316,256.0
187,Expectimax,2,188,820,0.8299,1024.0
188,Expectimax,2,189,441,0.453,512.0
189,Expectimax,2,190,259,0.3143,256.0
190,Expectimax,2,191,234,0.272,256.0
191,Expectimax,2,192,259,0.2973,256.0
192,Expectimax,2,193,493,0.5472,512.0
193,Expectimax,2,194,368,0.4206,512.0
194,Expectimax,2,195,265,0.3075,256.0
195,Expectimax,2,196,645,0.6566,1024.0
196,Expectimax,2,197,441,0.4928,512.0
197,Expectimax,2,198,504,0.5319,512.0
198,Expectimax,2,199,446,0.4531,512.0
199,Expectimax,2,200,443,0.4884,512.0
