,Algorithm,Parameter,Attempt,Iterations,Time (s),Max Tile
0,MCTS,384,1,488,325.6535,512.0
1,MCTS,384,2,955,566.1643,1024.0
2,MCTS,384,3,926,551.396,1024.0
3,MCTS,384,4,881,531.7415,1024.0
4,MCTS,384,5,254,192.8271,256.0
5,MCTS,384,6,147,126.773,128.0
6,MCTS,384,7,259,189.5057,256.0
7,MCTS,384,8,1421,789.3272,2048.0
8,MCTS,384,9,1406,787.7778,2048.0
9,MCTS,384,10,153,129.0849,128.0
10,MCTS,384,11,942,530.167,1024.0
11,MCTS,384,12,960,564.5746,1024.0
12,MCTS,384,13,498,325.6634,512.0
13,MCTS,384,14,514,339.03,512.0
14,MCTS,384,15,961,564.4897,1024.0
15,MCTS,384,16,957,551.804,1024.0
16,MCTS,384,17,1020,570.6918,1024.0
17,MCTS,384,18,956,553.6101,1024.0
18,MCTS,384,19,264,193.2432,256.0
19,MCTS,384,20,912,522.5518,1024.0
20,MCTS,384,21,917,542.9814,1024.0
21,MCTS,384,22,502,327.0138,512.0
22,MCTS,384,23,966,564.9079,1024.0
23,MCTS,384,24,1414,806.5026,2048.0
24,MCTS,384,25,510,319.2177,512.0
25,MCTS,384,26,963,554.167,1024.0
26,MCTS,384,27,1344,753.1374,2048.0
27,MCTS,384,28,272,210.0689,256.0
28,MCTS,384,29,884,508.4148,1024.0
29,MCTS,384,30,256,194.5386,256.0
30,MCTS,384,31,965,557.0138,1024.0
31,MCTS,384,32,1341,735.5061,2048.0
32,MCTS,384,33,728,452.1578,1024.0
33,MCTS,384,34,254,191.1729,256.0
34,MCTS,384,35,873,525.4689,1024.0
35,MCTS,384,36,485,327.1351,512.0
36,MCTS,384,37,959,558.1261,1024.0
37,MCTS,384,38,723,451.8671,1024.0
38,MCTS,384,39,948,542.1142,1024.0
39,MCTS,384,40,907,541.4304,1024.0
40,MCTS,384,41,1172,695.1439,2048.0
41,MCTS,384,42,436,295.2253,512.0
42,MCTS,384,43,754,465.0813,1024.0
43,MCTS,384,44,843,507.1889,1024.0
44,MCTS,384,45,820,514.8277,1024.0
45,MCTS,384,46,926,545.3856,1024.0
46,MCTS,384,47,1561,827.765,2048.0
47,MCTS,384,48,519,337.7256,512.0
48,MCTS,384,49,280,202.2004,256.0
49,MCTS,384,50,902,542.0929,1024.0
50,MCTS,384,51,498,333.7918,512.0
51,MCTS,384,52,1423,782.6822,2048.0
52,MCTS,384,53,711,438.3934,1024.0
53,MCTS,384,54,484,321.4154,512.0
54,MCTS,384,55,924,553.0,1024.0
55,MCTS,384,56,965,559.833,1024.0
56,MCTS,384,57,847,512.9337,1024.0
57,MCTS,384,58,261,195.3444,256.0
58,MCTS,384,59,810,484.8104,1024.0
59,MCTS,384,60,1412,799.5547,2048.0
60,MCTS,384,61,940,550.2289,1024.0
61,MCTS,384,62,1453,833.1822,2048.0
62,MCTS,384,63,969,571.1689,1024.0
63,MCTS,384,64,808,474.1688,1024.0
64,MCTS,384,65,262,198.0021,256.0
65,MCTS,384,66,249,193.4893,256.0
66,MCTS,384,67,904,550.8832,1024.0
67,MCTS,384,68,489,327.1549,512.0
68,MCTS,384,69,954,515.4429,1024.0
69,MCTS,384,70,264,195.4065,256.0
70,MCTS,384,71,726,464.5883,1024.0
71,MCTS,384,72,502,326.8178,512.0
72,MCTS,384,73,941,543.85,1024.0
73,MCTS,384,74,930,542.9555,1024.0
74,MCTS,384,75,985,554.3653,1024.0
75,MCTS,384,76,658,427.228,1024.0
76,MCTS,384,77,950,545.5937,1024.0
77,MCTS,384,78,262,192.8125,256.0
78,MCTS,384,79,1674,933.8587,2048.0
79,MCTS,384,80,982,561.2054,1024.0
80,MCTS,384,81,965,557.5373,1024.0
81,MCTS,384,82,949,546.5939,1024.0
82,MCTS,384,83,531,330.8639,512.0
83,MCTS,384,84,714,455.0937,1024.0
84,MCTS,384,85,840,525.8506,1024.0
85,MCTS,384,86,1830,975.4778,2048.0
