,Algorithm,Parameter,Attempt,Iterations,Time (s),Max Tile
0,Expectimax,3,1,661,30.6881,1024.0
1,Expectimax,3,2,713,34.6476,1024.0
2,Expectimax,3,3,489,22.787,512.0
3,Expectimax,3,4,457,21.9679,512.0
4,Expectimax,3,5,265,14.074,256.0
5,Expectimax,3,6,1397,51.9606,2048.0
6,Expectimax,3,7,745,32.3845,1024.0
7,Expectimax,3,8,497,27.2327,512.0
8,Expectimax,3,9,720,32.7528,1024.0
9,Expectimax,3,10,296,17.8499,256.0
10,Expectimax,3,11,443,24.804,512.0
11,Expectimax,3,12,444,23.1254,512.0
12,Expectimax,3,13,363,20.7093,512.0
13,Expectimax,3,14,214,14.4893,256.0
14,Expectimax,3,15,407,20.1372,512.0
15,Expectimax,3,16,453,19.9755,512.0
16,Expectimax,3,17,705,33.6687,1024.0
17,Expectimax,3,18,486,23.8446,512.0
18,Expectimax,3,19,359,20.9941,512.0
19,Expectimax,3,20,452,20.1471,512.0
20,Expectimax,3,21,443,24.2675,512.0
21,Expectimax,3,22,275,16.7998,256.0
22,Expectimax,3,23,262,17.0362,256.0
23,Expectimax,3,24,401,21.3815,512.0
24,Expectimax,3,25,265,16.0119,256.0
25,Expectimax,3,26,472,24.5466,512.0
26,Expectimax,3,27,497,22.6521,512.0
27,Expectimax,3,28,479,23.627,512.0
28,Expectimax,3,29,489,25.2917,512.0
29,Expectimax,3,30,186,12.328,128.0
30,Expectimax,3,31,270,14.8443,256.0
31,Expectimax,3,32,407,19.7656,512.0
32,Expectimax,3,33,486,22.4172,512.0
33,Expectimax,3,34,852,31.4924,1024.0
34,Expectimax,3,35,481,23.9267,512.0
35,Expectimax,3,36,506,22.796,512.0
36,Expectimax,3,37,503,22.9906,512.0
37,Expectimax,3,38,481,25.1833,512.0
38,Expectimax,3,39,440,20.1494,512.0
39,Expectimax,3,40,552,26.3742,512.0
40,Expectimax,3,41,461,24.6339,512.0
41,Expectimax,3,42,492,21.6713,512.0
42,Expectimax,3,43,592,27.4557,1024.0
43,Expectimax,3,44,479,24.1135,512.0
44,Expectimax,3,45,265,16.2181,256.0
45,Expectimax,3,46,384,21.6738,512.0
46,Expectimax,3,47,482,23.3228,512.0
47,Expectimax,3,48,473,22.365,512.0
48,Expectimax,3,49,420,21.478,512.0
49,Expectimax,3,50,502,25.607,512.0
50,Expectimax,3,51,326,20.0003,512.0
51,Expectimax,3,52,733,30.7019,1024.0
52,Expectimax,3,53,511,22.92,512.0
53,Expectimax,3,54,718,31.0819,1024.0
54,Expectimax,3,55,267,14.4435,256.0
55,Expectimax,3,56,428,21.4467,512.0
56,Expectimax,3,57,457,21.7047,512.0
57,Expectimax,3,58,401,24.3496,512.0
58,Expectimax,3,59,278,15.841,256.0
59,Expectimax,3,60,494,22.0665,512.0
60,Expectimax,3,61,461,20.0276,512.0
61,Expectimax,3,62,385,21.9514,512.0
62,Expectimax,3,63,372,20.314,512.0
63,Expectimax,3,64,439,22.0074,512.0
64,Expectimax,3,65,671,30.251,1024.0
65,Expectimax,3,66,487,25.9528,512.0
66,Expectimax,3,67,437,19.9589,512.0
67,Expectimax,3,68,489,24.7479,512.0
68,Expectimax,3,69,450,23.3546,512.0
69,Expectimax,3,70,389,23.4739,512.0
70,Expectimax,3,71,248,15.1752,256.0
71,Expectimax,3,72,433,22.286,512.0
72,Expectimax,3,73,825,32.7229,1024.0
73,Expectimax,3,74,647,28.7008,1024.0
74,Expectimax,3,75,733,32.963,1024.0
75,Expectimax,3,76,528,26.6167,512.0
76,Expectimax,3,77,489,23.2321,512.0
77,Expectimax,3,78,488,20.4946,512.0
78,Expectimax,3,79,475,20.7631,512.0
79,Expectimax,3,80,392,21.3839,512.0
80,Expectimax,3,81,263,13.4699,256.0
81,Expectimax,3,82,269,14.0855,256.0
82,Expectimax,3,83,389,20.7874,512.0
83,Expectimax,3,84,407,19.5103,512.0
84,Expectimax,3,85,717,28.4888,1024.0
85,Expectimax,3,86,512,20.1371,512.0
86,Expectimax,3,87,265,16.3523,256.0
87,Expectimax,3,88,389,19.9242,512.0
88,Expectimax,3,89,296,16.3956,256.0
89,Expectimax,3,90,400,19.1321,512.0
90,Expectimax,3,91,254,14.1677,256.0
91,Expectimax,3,92,827,30.2178,1024.0
92,Expectimax,3,93,266,15.341,256.0
93,Expectimax,3,94,269,15.5469,256.0
94,Expectimax,3,95,511,22.4201,512.0
95,Expectimax,3,96,493,22.2131,512.0
96,Expectimax,3,97,393,23.1609,512.0
97,Expectimax,3,98,491,22.0141,512.0
98,Expectimax,3,99,467,24.9443,512.0
99,Expectimax,3,100,728,35.2232,1024.0
100,Expectimax,3,101,754,30.0046,1024.0
101,Expectimax,3,102,489,25.1256,512.0
102,Expectimax,3,103,368,21.7677,512.0
103,Expectimax,3,104,244,14.6436,256.0
104,Expectimax,3,105,518,24.1634,512.0
105,Expectimax,3,106,489,19.8445,512.0
106,Expectimax,3,107,392,20.1084,512.0
107,Expectimax,3,108,626,29.312,1024.0
108,Expectimax,3,109,744,31.0029,1024.0
109,Expectimax,3,110,500,23.2033,512.0
110,Expectimax,3,111,266,14.8805,256.0
111,Expectimax,3,112,688,27.6585,1024.0
112,Expectimax,3,113,392,19.6597,512.0
113,Expectimax,3,114,485,26.4003,512.0
114,Expectimax,3,115,524,21.7634,512.0
115,Expectimax,3,116,700,31.8388,1024.0
116,Expectimax,3,117,372,21.169,512.0
117,Expectimax,3,118,434,21.3285,512.0
118,Expectimax,3,119,510,22.7924,512.0
119,Expectimax,3,120,378,21.024,512.0
120,Expectimax,3,121,265,15.2064,256.0
121,Expectimax,3,122,496,22.6263,512.0
122,Expectimax,3,123,572,26.0265,1024.0
123,Expectimax,3,124,494,23.6028,512.0
124,Expectimax,3,125,259,15.0933,256.0
125,Expectimax,3,126,499,24.8247,512.0
126,Expectimax,3,127,713,30.5706,1024.0
127,Expectimax,3,128,483,22.406,512.0
128,Expectimax,3,129,457,22.2104,512.0
129,Expectimax,3,130,490,25.1923,512.0
130,Expectimax,3,131,453,24.771,512.0
131,Expectimax,3,132,436,23.6024,512.0
132,Expectimax,3,133,483,20.2459,512.0
133,Expectimax,3,134,393,20.4021,512.0
134,Expectimax,3,135,445,20.894,512.0
135,Expectimax,3,136,727,29.6971,1024.0
136,Expectimax,3,137,494,24.1209,512.0
137,Expectimax,3,138,265,16.8262,256.0
