,Algorithm,Parameter,Attempt,Iterations,Time (s),Max Tile
0,MCTS,48,1,435,33.9186,512.0
1,MCTS,48,2,753,52.2866,1024.0
2,MCTS,48,3,661,46.2442,1024.0
3,MCTS,48,4,903,60.3384,1024.0
4,MCTS,48,5,906,56.8889,1024.0
5,MCTS,48,6,254,21.4448,256.0
6,MCTS,48,7,513,38.5601,512.0
7,MCTS,48,8,255,21.5719,256.0
8,MCTS,48,9,616,45.0623,1024.0
9,MCTS,48,10,286,23.3658,256.0
10,MCTS,48,11,685,49.955,1024.0
11,MCTS,48,12,500,37.9218,512.0
12,MCTS,48,13,957,63.578,1024.0
13,MCTS,48,14,487,35.838,512.0
14,MCTS,48,15,689,49.6787,1024.0
15,MCTS,48,16,412,34.1285,512.0
16,MCTS,48,17,72,8.7224,64.0
17,MCTS,48,18,505,35.856,512.0
18,MCTS,48,19,866,57.9172,1024.0
19,MCTS,48,20,540,39.3951,512.0
20,MCTS,48,21,506,37.2999,512.0
21,MCTS,48,22,602,44.6535,1024.0
22,MCTS,48,23,476,33.146,512.0
23,MCTS,48,24,742,52.9509,1024.0
24,MCTS,48,25,514,37.4404,512.0
25,MCTS,48,26,861,54.8259,1024.0
26,MCTS,48,27,480,36.4533,512.0
27,MCTS,48,28,707,51.3161,1024.0
28,MCTS,48,29,519,35.1798,512.0
29,MCTS,48,30,88,9.9164,64.0
30,MCTS,48,31,489,36.6954,512.0
31,MCTS,48,32,827,55.3506,1024.0
32,MCTS,48,33,499,37.0002,512.0
33,MCTS,48,34,879,57.5688,1024.0
34,MCTS,48,35,966,63.578,1024.0
35,MCTS,48,36,863,59.8743,1024.0
36,MCTS,48,37,432,33.5208,512.0
37,MCTS,48,38,363,31.5435,512.0
38,MCTS,48,39,234,21.0356,256.0
39,MCTS,48,40,932,58.0192,1024.0
40,MCTS,48,41,924,60.2103,1024.0
41,MCTS,48,42,728,50.2653,1024.0
42,MCTS,48,43,884,59.1201,1024.0
43,MCTS,48,44,454,35.9171,512.0
44,MCTS,48,45,95,10.5005,64.0
45,MCTS,48,46,948,62.7851,1024.0
46,MCTS,48,47,517,36.2091,512.0
47,MCTS,48,48,140,14.18,128.0
48,MCTS,48,49,934,61.3139,1024.0
49,MCTS,48,50,616,45.7427,1024.0
50,MCTS,48,51,969,62.3151,1024.0
51,MCTS,48,52,489,37.9792,512.0
52,MCTS,48,53,431,33.8276,512.0
53,MCTS,48,54,726,50.98,1024.0
54,MCTS,48,55,408,31.4678,512.0
55,MCTS,48,56,454,36.1654,512.0
56,MCTS,48,57,899,61.3581,1024.0
57,MCTS,48,58,721,51.0583,1024.0
58,MCTS,48,59,816,54.7102,1024.0
59,MCTS,48,60,874,58.3271,1024.0
60,MCTS,48,61,719,49.8763,1024.0
61,MCTS,48,62,484,35.8691,512.0
62,MCTS,48,63,414,33.268,512.0
63,MCTS,48,64,748,51.8223,1024.0
64,MCTS,48,65,438,32.3294,512.0
65,MCTS,48,66,1425,90.7414,2048.0
66,MCTS,48,67,713,50.2509,1024.0
67,MCTS,48,68,474,35.5226,512.0
68,MCTS,48,69,517,38.0681,512.0
69,MCTS,48,70,432,33.4212,512.0
70,MCTS,48,71,934,62.5098,1024.0
71,MCTS,48,72,695,49.8937,1024.0
72,MCTS,48,73,497,38.7274,512.0
73,MCTS,48,74,483,36.54,512.0
74,MCTS,48,75,488,36.4274,512.0
75,MCTS,48,76,681,49.4776,1024.0
76,MCTS,48,77,838,57.3849,1024.0
77,MCTS,48,78,699,50.7465,1024.0
78,MCTS,48,79,841,59.8449,1024.0
79,MCTS,48,80,367,30.1268,512.0
80,MCTS,48,81,703,50.4621,1024.0
81,MCTS,48,82,904,61.4393,1024.0
82,MCTS,48,83,497,35.306,512.0
83,MCTS,48,84,357,29.7538,512.0
84,MCTS,48,85,940,59.515,1024.0
85,MCTS,48,86,489,37.0317,512.0
86,MCTS,48,87,928,62.9475,1024.0
87,MCTS,48,88,497,34.0274,512.0
88,MCTS,48,89,496,36.7415,512.0
89,MCTS,48,90,503,36.7692,512.0
90,MCTS,48,91,734,52.609,1024.0
91,MCTS,48,92,478,34.6934,512.0
92,MCTS,48,93,474,35.853,512.0
93,MCTS,48,94,677,48.2508,1024.0
94,MCTS,48,95,310,23.5914,256.0
95,MCTS,48,96,503,38.4728,512.0
96,MCTS,48,97,477,35.5732,512.0
97,MCTS,48,98,127,13.2511,128.0
98,MCTS,48,99,202,18.3962,256.0
99,MCTS,48,100,496,36.4179,512.0
100,MCTS,48,101,905,59.3469,1024.0
101,MCTS,48,102,886,60.3499,1024.0
102,MCTS,48,103,482,37.7707,512.0
103,MCTS,48,104,257,22.1086,256.0
104,MCTS,48,105,491,36.8085,512.0
105,MCTS,48,106,409,32.2361,512.0
106,MCTS,48,107,731,49.6851,1024.0
107,MCTS,48,108,483,36.8597,512.0
108,MCTS,48,109,496,37.0678,512.0
109,MCTS,48,110,463,35.4676,512.0
110,MCTS,48,111,469,36.1352,512.0
111,MCTS,48,112,726,50.9757,1024.0
112,MCTS,48,113,899,62.0847,1024.0
113,MCTS,48,114,256,22.819,256.0
114,MCTS,48,115,728,51.7899,1024.0
115,MCTS,48,116,916,59.18,1024.0
116,MCTS,48,117,495,37.1205,512.0
117,MCTS,48,118,935,58.4065,1024.0
118,MCTS,48,119,238,20.8373,256.0
119,MCTS,48,120,493,36.271,512.0
120,MCTS,48,121,727,49.9293,1024.0
121,MCTS,48,122,61,7.515,64.0
122,MCTS,48,123,807,52.4517,1024.0
123,MCTS,48,124,431,33.9923,512.0
124,MCTS,48,125,485,33.5295,512.0
125,MCTS,48,126,256,21.8924,256.0
126,MCTS,48,127,830,56.267,1024.0
127,MCTS,48,128,165,15.6927,128.0
128,MCTS,48,129,260,22.1173,256.0
