,Algorithm,Parameter,Attempt,Iterations,Time (s),Max Tile
0,Expectimax,6,1,482,1050.7319,512.0
1,Expectimax,6,2,476,1355.7838,512.0
2,Expectimax,6,3,521,1318.3279,512.0
3,Expectimax,6,4,509,1007.5233,512.0
4,Expectimax,6,5,502,1153.931,512.0
5,Expectimax,6,6,511,957.9115,512.0
6,Expectimax,6,7,457,1089.2804,512.0
7,Expectimax,6,8,744,1390.2882,1024.0
8,Expectimax,6,9,616,1241.0832,1024.0
9,Expectimax,6,10,793,1326.0062,1024.0
10,Expectimax,6,11,788,1474.3833,1024.0
11,Expectimax,6,12,503,1205.5306,512.0
12,Expectimax,6,13,730,1429.151,1024.0
13,Expectimax,6,14,725,1434.8361,1024.0
14,Expectimax,6,15,436,1104.5527,512.0
15,Expectimax,6,16,391,978.9163,512.0
16,Expectimax,6,17,434,930.9844,512.0
17,Expectimax,6,18,919,1500.9227,1024.0
18,Expectimax,6,19,525,1170.1442,512.0
19,Expectimax,6,20,256,812.799,256.0
20,Expectimax,6,21,810,1385.3782,1024.0
21,Expectimax,6,22,502,1153.752,512.0
22,Expectimax,6,23,773,1416.4974,1024.0
23,Expectimax,6,24,283,907.121,256.0
24,Expectimax,6,25,745,1274.0959,1024.0
25,Expectimax,6,26,475,1010.8712,512.0
26,Expectimax,6,27,716,1492.3191,1024.0
27,Expectimax,6,28,398,1182.0509,512.0
28,Expectimax,6,29,493,1191.1732,512.0
29,Expectimax,6,30,442,1004.5163,512.0
30,Expectimax,6,31,479,1040.1686,512.0
31,Expectimax,6,32,266,716.8434,256.0
32,Expectimax,6,33,481,1035.4105,512.0
33,Expectimax,6,34,472,1049.1036,512.0
34,Expectimax,6,35,833,1510.1971,1024.0
35,Expectimax,6,36,486,1109.0296,512.0
36,Expectimax,6,37,831,1352.0286,1024.0
37,Expectimax,6,38,268,851.4989,256.0
38,Expectimax,6,39,473,973.2734,512.0
39,Expectimax,6,40,482,1062.1489,512.0
40,Expectimax,6,41,832,1426.1344,1024.0
41,Expectimax,6,42,377,1202.833,512.0
42,Expectimax,6,43,502,1184.6787,512.0
43,Expectimax,6,44,910,1533.1429,1024.0
44,Expectimax,6,45,458,1183.9272,512.0
45,Expectimax,6,46,275,802.7654,256.0
46,Expectimax,6,47,719,1423.374,1024.0
47,Expectimax,6,48,423,1081.6225,512.0
48,Expectimax,6,49,490,1128.8582,512.0
49,Expectimax,6,50,484,1238.353,512.0
50,Expectimax,6,51,512,1137.7353,512.0
51,Expectimax,6,52,456,1113.2215,512.0
52,Expectimax,6,53,439,911.0333,512.0
53,Expectimax,6,54,466,1057.7966,512.0
54,Expectimax,6,55,482,1231.7645,512.0
55,Expectimax,6,56,686,1357.5035,1024.0
56,Expectimax,6,57,727,1493.3228,1024.0
57,Expectimax,6,58,502,1193.421,512.0
58,Expectimax,6,59,486,1211.255,512.0
59,Expectimax,6,60,608,1209.5105,1024.0
60,Expectimax,6,61,735,1316.6244,1024.0
61,Expectimax,6,62,955,1569.5993,1024.0
62,Expectimax,6,63,754,1484.5078,1024.0
63,Expectimax,6,64,897,1689.7267,1024.0
64,Expectimax,6,65,502,1066.5315,512.0
65,Expectimax,6,66,265,704.8212,256.0
66,Expectimax,6,67,845,1423.7213,1024.0
67,Expectimax,6,68,493,1130.6529,512.0
68,Expectimax,6,69,818,1352.5806,1024.0
69,Expectimax,6,70,495,1138.5812,512.0
70,Expectimax,6,71,492,1154.911,512.0
71,Expectimax,6,72,733,1489.7222,1024.0
72,Expectimax,6,73,499,1010.3542,512.0
73,Expectimax,6,74,707,1419.1942,1024.0
74,Expectimax,6,75,602,1409.4789,1024.0
75,Expectimax,6,76,909,1411.9385,1024.0
76,Expectimax,6,77,707,1266.9645,1024.0
77,Expectimax,6,78,709,1335.6733,1024.0
78,Expectimax,6,79,487,1074.9224,512.0
79,Expectimax,6,80,601,1372.7635,1024.0
80,Expectimax,6,81,701,1505.2221,1024.0
81,Expectimax,6,82,470,1186.8585,512.0
82,Expectimax,6,83,486,1058.8758,512.0
83,Expectimax,6,84,843,1418.8945,1024.0
84,Expectimax,6,85,723,1447.9468,1024.0
85,Expectimax,6,86,481,1139.347,512.0
86,Expectimax,6,87,717,1352.515,1024.0
87,Expectimax,6,88,294,927.298,256.0
88,Expectimax,6,89,612,1208.479,1024.0
89,Expectimax,6,90,522,1095.7181,512.0
90,Expectimax,6,91,933,1531.6198,1024.0
91,Expectimax,6,92,439,1068.9415,512.0
92,Expectimax,6,93,824,1620.0344,1024.0
93,Expectimax,6,94,486,1312.9799,512.0
94,Expectimax,6,95,564,1081.2376,1024.0
95,Expectimax,6,96,738,1470.4676,1024.0
96,Expectimax,6,97,729,1315.4419,1024.0
97,Expectimax,6,98,722,1353.9504,1024.0
98,Expectimax,6,99,527,949.2806,512.0
99,Expectimax,6,100,464,1045.0594,512.0
100,Expectimax,6,101,845,1394.7287,1024.0
101,Expectimax,6,102,682,1461.0572,1024.0
102,Expectimax,6,103,382,1218.7488,512.0
103,Expectimax,6,104,844,1568.6997,1024.0
104,Expectimax,6,105,271,756.9513,256.0
105,Expectimax,6,106,707,1353.1521,1024.0
106,Expectimax,6,107,718,1266.3057,1024.0
107,Expectimax,6,108,248,672.4997,256.0
108,Expectimax,6,109,865,1416.663,1024.0
109,Expectimax,6,110,708,1556.6679,1024.0
110,Expectimax,6,111,780,1455.7084,1024.0
111,Expectimax,6,112,266,754.296,256.0
112,Expectimax,6,113,666,1424.7235,1024.0
113,Expectimax,6,114,493,1233.4618,512.0
114,Expectimax,6,115,485,1012.856,512.0
115,Expectimax,6,116,491,1046.0149,512.0
116,Expectimax,6,117,292,884.2005,256.0
117,Expectimax,6,118,402,986.3342,512.0
118,Expectimax,6,119,483,1070.3441,512.0
119,Expectimax,6,120,897,1701.8607,1024.0
120,Expectimax,6,121,355,1003.327,512.0
121,Expectimax,6,122,709,1350.5018,1024.0
122,Expectimax,6,123,517,1234.4878,512.0
123,Expectimax,6,124,395,1048.4931,512.0
124,Expectimax,6,125,474,1239.3103,512.0
125,Expectimax,6,126,351,906.8274,512.0
126,Expectimax,6,127,735,1283.3407,1024.0
127,Expectimax,6,128,721,1343.7971,1024.0
128,Expectimax,6,129,723,1435.6407,1024.0
129,Expectimax,6,130,723,1407.6858,1024.0
130,Expectimax,6,131,728,1398.5674,1024.0
131,Expectimax,6,132,389,1022.8936,512.0
132,Expectimax,6,133,686,1555.9245,1024.0
133,Expectimax,6,134,483,1108.483,512.0
134,Expectimax,6,135,841,1443.6545,1024.0
135,Expectimax,6,136,476,1139.4045,512.0
136,Expectimax,6,137,692,1217.4059,1024.0
137,Expectimax,6,138,736,1381.2073,1024.0
138,Expectimax,6,139,899,1578.7251,1024.0
139,Expectimax,6,140,783,1377.0291,1024.0
140,Expectimax,6,141,894,1421.2362,1024.0
141,Expectimax,6,142,912,1529.0818,1024.0
142,Expectimax,6,143,483,990.9368,512.0
143,Expectimax,6,144,720,1240.993,1024.0
144,Expectimax,6,145,491,1002.0049,512.0
145,Expectimax,6,146,758,1521.2138,1024.0
146,Expectimax,6,147,496,1120.2146,512.0
147,Expectimax,6,148,494,1101.2842,512.0
148,Expectimax,6,149,452,1133.9701,512.0
149,Expectimax,6,150,483,1104.4462,512.0
150,Expectimax,6,151,679,1322.3052,1024.0
151,Expectimax,6,152,484,1128.0616,512.0
152,Expectimax,6,153,765,1326.626,1024.0
153,Expectimax,6,154,947,1552.1648,1024.0
154,Expectimax,6,155,443,893.5073,512.0
155,Expectimax,6,156,728,1500.5657,1024.0
156,Expectimax,6,157,736,1469.8579,1024.0
157,Expectimax,6,158,939,1566.0939,1024.0
158,Expectimax,6,159,263,824.7821,256.0
159,Expectimax,6,160,417,1080.289,512.0
160,Expectimax,6,161,496,1289.8799,512.0
161,Expectimax,6,162,811,1283.5747,1024.0
162,Expectimax,6,163,389,1100.8063,512.0
163,Expectimax,6,164,743,1490.3232,1024.0
164,Expectimax,6,165,243,828.3473,256.0
165,Expectimax,6,166,391,951.9532,512.0
166,Expectimax,6,167,809,1346.1617,1024.0
167,Expectimax,6,168,730,1638.6725,1024.0
168,Expectimax,6,169,495,1165.104,512.0
169,Expectimax,6,170,734,1605.5683,1024.0
170,Expectimax,6,171,257,842.7418,256.0
171,Expectimax,6,172,796,1305.5136,1024.0
172,Expectimax,6,173,929,1631.1872,1024.0
173,Expectimax,6,174,484,1165.5932,512.0
174,Expectimax,6,175,516,1283.3539,512.0
175,Expectimax,6,176,608,1057.0736,1024.0
176,Expectimax,6,177,256,883.0846,256.0
177,Expectimax,6,178,479,918.9762,512.0
178,Expectimax,6,179,468,1056.1962,512.0
179,Expectimax,6,180,841,1564.3674,1024.0
180,Expectimax,6,181,834,1610.4807,1024.0
181,Expectimax,6,182,714,1434.6461,1024.0
182,Expectimax,6,183,846,1516.2717,1024.0
183,Expectimax,6,184,514,1066.8368,512.0
184,Expectimax,6,185,948,1539.366,1024.0
185,Expectimax,6,186,656,1367.5202,1024.0
186,Expectimax,6,187,481,1003.1767,512.0
187,Expectimax,6,188,484,915.8488,512.0
188,Expectimax,6,189,851,1478.5762,1024.0
189,Expectimax,6,190,652,1337.4519,1024.0
190,Expectimax,6,191,655,1461.5736,1024.0
191,Expectimax,6,192,363,907.8586,512.0
192,Expectimax,6,193,245,801.2949,256.0
193,Expectimax,6,194,418,1136.3752,512.0
194,Expectimax,6,195,501,1093.0525,512.0
195,Expectimax,6,196,497,1099.2574,512.0
196,Expectimax,6,197,251,801.6233,256.0
197,Expectimax,6,198,969,1501.1617,1024.0
198,Expectimax,6,199,407,1186.5404,512.0
199,Expectimax,6,200,334,928.4269,512.0
