,Algorithm,Parameter,Attempt,Iterations,Time (s),Max Tile
0,Expectimax,5,1,890,445.9697,1024.0
1,Expectimax,5,2,486,258.4364,512.0
2,Expectimax,5,3,955,448.7098,1024.0
3,Expectimax,5,4,756,372.8692,1024.0
4,Expectimax,5,5,471,288.6436,512.0
5,Expectimax,5,6,609,327.6792,1024.0
6,Expectimax,5,7,585,327.8885,1024.0
7,Expectimax,5,8,515,288.6566,512.0
8,Expectimax,5,9,489,299.9493,512.0
9,Expectimax,5,10,837,407.2302,1024.0
10,Expectimax,5,11,402,251.1392,512.0
11,Expectimax,5,12,686,334.8257,1024.0
12,Expectimax,5,13,219,151.8855,256.0
13,Expectimax,5,14,385,231.3983,512.0
14,Expectimax,5,15,729,369.6554,1024.0
15,Expectimax,5,16,855,370.3256,1024.0
16,Expectimax,5,17,711,310.7431,1024.0
17,Expectimax,5,18,464,254.5613,512.0
18,Expectimax,5,19,678,323.565,1024.0
19,Expectimax,5,20,492,275.4526,512.0
20,Expectimax,5,21,721,378.5015,1024.0
21,Expectimax,5,22,730,329.7394,1024.0
22,Expectimax,5,23,807,385.3337,1024.0
23,Expectimax,5,24,487,253.3603,512.0
24,Expectimax,5,25,693,356.493,1024.0
25,Expectimax,5,26,672,346.9713,1024.0
26,Expectimax,5,27,496,261.9707,512.0
27,Expectimax,5,28,509,293.4554,512.0
28,Expectimax,5,29,748,342.2382,1024.0
29,Expectimax,5,30,503,275.4776,512.0
30,Expectimax,5,31,832,334.1708,1024.0
31,Expectimax,5,32,857,345.419,1024.0
32,Expectimax,5,33,914,417.0662,1024.0
33,Expectimax,5,34,363,210.3852,512.0
34,Expectimax,5,35,624,357.3273,1024.0
35,Expectimax,5,36,214,151.2725,256.0
36,Expectimax,5,37,725,328.0141,1024.0
37,Expectimax,5,38,720,357.3338,1024.0
38,Expectimax,5,39,808,376.9267,1024.0
39,Expectimax,5,40,698,350.0624,1024.0
40,Expectimax,5,41,463,260.3864,512.0
41,Expectimax,5,42,738,375.7574,1024.0
42,Expectimax,5,43,287,180.7525,256.0
43,Expectimax,5,44,952,415.1012,1024.0
44,Expectimax,5,45,489,296.8572,512.0
45,Expectimax,5,46,716,351.3748,1024.0
46,Expectimax,5,47,381,228.7693,512.0
47,Expectimax,5,48,471,238.3804,512.0
48,Expectimax,5,49,943,401.6029,1024.0
49,Expectimax,5,50,730,404.5192,1024.0
50,Expectimax,5,51,718,369.5037,1024.0
51,Expectimax,5,52,930,439.122,1024.0
52,Expectimax,5,53,507,276.4324,512.0
53,Expectimax,5,54,838,370.18,1024.0
54,Expectimax,5,55,259,181.3707,256.0
55,Expectimax,5,56,755,419.1772,1024.0
56,Expectimax,5,57,378,263.1252,512.0
57,Expectimax,5,58,466,253.2936,512.0
58,Expectimax,5,59,822,380.372,1024.0
59,Expectimax,5,60,727,325.197,1024.0
60,Expectimax,5,61,826,361.0732,1024.0
61,Expectimax,5,62,516,264.554,512.0
62,Expectimax,5,63,718,334.0236,1024.0
63,Expectimax,5,64,882,397.4177,1024.0
64,Expectimax,5,65,505,288.2814,512.0
65,Expectimax,5,66,694,360.9548,1024.0
66,Expectimax,5,67,916,380.8498,1024.0
67,Expectimax,5,68,567,331.1022,512.0
68,Expectimax,5,69,489,263.3796,512.0
69,Expectimax,5,70,945,416.2612,1024.0
70,Expectimax,5,71,718,366.7654,1024.0
71,Expectimax,5,72,485,280.5941,512.0
72,Expectimax,5,73,726,381.8081,1024.0
73,Expectimax,5,74,495,276.5472,512.0
74,Expectimax,5,75,518,297.9813,512.0
75,Expectimax,5,76,390,238.0432,512.0
76,Expectimax,5,77,483,256.723,512.0
77,Expectimax,5,78,535,265.068,512.0
78,Expectimax,5,79,479,279.8597,512.0
79,Expectimax,5,80,479,282.4237,512.0
80,Expectimax,5,81,961,399.5432,1024.0
81,Expectimax,5,82,718,396.1117,1024.0
82,Expectimax,5,83,485,260.3085,512.0
83,Expectimax,5,84,498,248.3437,512.0
84,Expectimax,5,85,736,397.6386,1024.0
85,Expectimax,5,86,676,302.6373,1024.0
86,Expectimax,5,87,758,368.539,1024.0
87,Expectimax,5,88,698,383.6072,1024.0
88,Expectimax,5,89,854,391.4292,1024.0
89,Expectimax,5,90,264,169.3057,256.0
90,Expectimax,5,91,496,298.769,512.0
91,Expectimax,5,92,446,227.799,512.0
92,Expectimax,5,93,724,344.5267,1024.0
93,Expectimax,5,94,473,243.8172,512.0
94,Expectimax,5,95,485,273.8758,512.0
95,Expectimax,5,96,616,323.1731,1024.0
96,Expectimax,5,97,508,263.8425,512.0
97,Expectimax,5,98,486,267.8012,512.0
98,Expectimax,5,99,676,310.918,1024.0
99,Expectimax,5,100,731,365.0819,1024.0
100,Expectimax,5,101,288,188.4018,256.0
101,Expectimax,5,102,403,245.1282,512.0
102,Expectimax,5,103,925,370.8729,1024.0
103,Expectimax,5,104,459,261.2594,512.0
104,Expectimax,5,105,522,299.8382,512.0
105,Expectimax,5,106,427,234.751,512.0
106,Expectimax,5,107,836,398.7697,1024.0
107,Expectimax,5,108,496,244.0221,512.0
108,Expectimax,5,109,621,365.6778,1024.0
109,Expectimax,5,110,425,247.9542,512.0
110,Expectimax,5,111,890,372.6372,1024.0
111,Expectimax,5,112,374,263.0416,512.0
112,Expectimax,5,113,682,377.5674,1024.0
113,Expectimax,5,114,738,364.1279,1024.0
114,Expectimax,5,115,481,246.1034,512.0
115,Expectimax,5,116,496,284.9261,512.0
116,Expectimax,5,117,483,292.2887,512.0
117,Expectimax,5,118,968,356.7748,1024.0
118,Expectimax,5,119,460,281.1806,512.0
119,Expectimax,5,120,473,250.3403,512.0
120,Expectimax,5,121,640,345.7457,1024.0
121,Expectimax,5,122,480,274.7294,512.0
122,Expectimax,5,123,1176,461.5845,2048.0
123,Expectimax,5,124,475,282.7559,512.0
124,Expectimax,5,125,923,379.9698,1024.0
125,Expectimax,5,126,713,370.9378,1024.0
126,Expectimax,5,127,705,341.3931,1024.0
127,Expectimax,5,128,518,274.3462,512.0
128,Expectimax,5,129,965,422.8835,1024.0
129,Expectimax,5,130,843,395.7856,1024.0
130,Expectimax,5,131,370,229.1509,512.0
131,Expectimax,5,132,388,242.3807,512.0
132,Expectimax,5,133,724,371.8299,1024.0
133,Expectimax,5,134,484,279.3565,512.0
134,Expectimax,5,135,665,317.1261,1024.0
135,Expectimax,5,136,477,250.7755,512.0
136,Expectimax,5,137,672,353.5124,1024.0
137,Expectimax,5,138,844,420.9833,1024.0
138,Expectimax,5,139,451,270.7078,512.0
139,Expectimax,5,140,907,410.3034,1024.0
140,Expectimax,5,141,463,299.906,512.0
141,Expectimax,5,142,906,468.942,1024.0
142,Expectimax,5,143,412,254.4079,512.0
143,Expectimax,5,144,491,270.9544,512.0
144,Expectimax,5,145,905,405.8982,1024.0
145,Expectimax,5,146,264,159.7273,256.0
146,Expectimax,5,147,520,273.444,512.0
147,Expectimax,5,148,737,367.4535,1024.0
148,Expectimax,5,149,477,232.6252,512.0
149,Expectimax,5,150,504,270.8506,512.0
150,Expectimax,5,151,383,229.3786,512.0
151,Expectimax,5,152,1393,485.1488,2048.0
152,Expectimax,5,153,707,339.6114,1024.0
153,Expectimax,5,154,631,292.3016,1024.0
154,Expectimax,5,155,445,227.3604,512.0
155,Expectimax,5,156,723,388.9132,1024.0
156,Expectimax,5,157,481,271.4446,512.0
157,Expectimax,5,158,815,382.1451,1024.0
158,Expectimax,5,159,627,348.4079,1024.0
159,Expectimax,5,160,804,354.2186,1024.0
160,Expectimax,5,161,398,249.3305,512.0
161,Expectimax,5,162,939,393.22,1024.0
162,Expectimax,5,163,717,359.7466,1024.0
163,Expectimax,5,164,146,113.5762,128.0
164,Expectimax,5,165,518,277.8047,512.0
165,Expectimax,5,166,674,325.0448,1024.0
166,Expectimax,5,167,434,289.2595,512.0
167,Expectimax,5,168,472,300.3294,512.0
168,Expectimax,5,169,737,363.5273,1024.0
169,Expectimax,5,170,831,385.6581,1024.0
170,Expectimax,5,171,486,265.2158,512.0
171,Expectimax,5,172,905,425.6393,1024.0
172,Expectimax,5,173,743,330.8295,1024.0
173,Expectimax,5,174,708,325.1734,1024.0
174,Expectimax,5,175,267,179.5578,256.0
175,Expectimax,5,176,484,264.9083,512.0
176,Expectimax,5,177,701,363.5958,1024.0
177,Expectimax,5,178,441,268.2827,512.0
178,Expectimax,5,179,1180,522.0303,2048.0
179,Expectimax,5,180,821,412.0473,1024.0
180,Expectimax,5,181,833,368.315,1024.0
181,Expectimax,5,182,739,363.2597,1024.0
182,Expectimax,5,183,915,398.4504,1024.0
183,Expectimax,5,184,500,269.0533,512.0
184,Expectimax,5,185,718,328.3865,1024.0
