,Algorithm,Parameter,Attempt,Iterations,Time (s),Max Tile
172,Random,0,173,147,0.0056,128.0
173,Random,0,174,81,0.003,64.0
174,Random,0,175,128,0.005,128.0
175,Random,0,176,87,0.0031,64.0
176,Random,0,177,126,0.0049,128.0
177,Random,0,178,140,0.0054,128.0
178,Random,0,179,127,0.0048,128.0
179,Random,0,180,91,0.0037,64.0
180,Random,0,181,90,0.0035,64.0
181,Random,0,182,113,0.0044,64.0
182,Random,0,183,80,0.0032,64.0
183,Random,0,184,111,0.0046,128.0
184,Random,0,185,134,0.0052,128.0
185,Random,0,186,50,0.0018,32.0
186,Random,0,187,71,0.0027,64.0
187,Random,0,188,168,0.0069,128.0
188,Random,0,189,119,0.0047,128.0
189,Random,0,190,135,0.0052,128.0
190,Random,0,191,128,0.0053,128.0
191,Random,0,192,134,0.0052,128.0
192,Random,0,193,102,0.0041,64.0
193,Random,0,194,150,0.0058,128.0
194,Random,0,195,85,0.0034,64.0
195,Random,0,196,141,0.0055,128.0
196,Random,0,197,123,0.005,128.0
197,Random,0,198,98,0.0038,64.0
198,Random,0,199,169,0.0073,128.0
199,Random,0,200,131,0.0051,128.0
